# Source of truth for the fqxv-vs-native-.sra size chart (docs/charts/sra_generate.py).
# One row per SRA run: the size a user would store in each format. Regenerated by
# bench/scripts/sra_compare.sh (lossless `fqxv --max`; .sra sizes from `sracha info`).
# Refreshed 2026-07-23 at HEAD b900125. Bytes.
# Columns: accession  platform  fastq_bytes  sra_bytes  fqxv_bytes
accession	platform	fastq_bytes	sra_bytes	fqxv_bytes
DRR174812	NovaSeq6000	11159804056	1497535502	496094448
SRR453566	GAIIx	3683718196	744076393	378614260
SRR2627175	MiSeq	2501468774	729940427	392606599
DRR205413	ONT-MinION	603888780	273372545	197124217
